surface,loyer_mensuel
25,370
25,370
26,430
26,423
26,424
26,425
26,423
26,424
26,430
26,423
26,430
26,423
26,371
26,371
27,417
27,418
27,409
27,420
27,417
27,409
27,420
27,420
27,420
27,413
27,420
27,436
27,400
27,420
27,413
27,420
27,436
27,400
27,390
27,390
28,400
28,400
28,400
28,400
28,401
28,401
28,405
28,400
28,405
29,395
32,417
42,485
42,485
43,550
43,551
43,550
43,551
43,545
43,550
43,582
43,545
43,475
43,550
43,530
43,582
43,565
43,565
44,548
44,519
44,578
44,548
44,519
44,490
44,545
44,578
44,543
44,543
44,515
44,540
44,543
44,515
44,500
44,561
44,555
44,561
44,565
45,549
45,548
45,540
45,545
45,502
45,540
45,542
45,540
45,490
45,543
45,540
45,546
45,563
45,570
45,555
45,570
46,500
46,500
46,565
46,566
47,530
47,550
47,503
47,536
47,550
47,530
47,550
47,535
47,530
47,540
48,540
48,500
48,545
48,540
48,630
49,502
49,525
50,553
50,530
50,550
50,620
51,530
51,600
51,530
51,620
51,580
51,597
52,553
52,566
52,600
52,630
53,566
54,560
54,620
54,564
54,620
54,650
54,640
55,550
55,590
55,620
55,610
56,580
57,585
57,585
57,580
58,590
58,600
58,629
58,580
58,600
58,580
59,600
60,650
60,620
60,601
61,600
61,600
61,600
62,620
64,732
64,732
64,681
64,681
64,700
64,720
65,660
65,680
65,680
65,600
65,730
66,700
66,730
66,700
66,660
66,720
66,730
66,700
66,730
66,700
66,730
66,720
66,620
66,732
66,720
67,700
67,700
67,700
67,700
67,690
67,695
67,690
67,690
67,720
67,720
67,700
67,750
67,650
67,678
67,724
68,664
68,745
68,700
68,650
68,670
68,661
68,720
68,690
68,652
68,660
68,768
68,700
68,620
69,674
69,665
71,680
71,650
71,700
74,684
76,730
79,900
79,710
80,670
80,650
82,700
82,700
82,720
85,900
86,760
86,785
86,760
86,785
86,810
86,768
86,808
87,790
87,790
87,810
87,774
87,879
87,825
87,885
87,850
89,700
89,850
89,774
89,1000
90,775
90,810
91,855
91,800
92,800
92,800
92,827
92,850
93,870
93,870
93,860
94,839
94,940
95,915
96,981
96,1083
97,850
97,845
97,900
97,945
97,802
97,870
98,856
99,800
99,935
99,860
100,976
100,913
100,850
100,860
101,900
103,950
103,950
104,1060
104,1060
106,990
106,1007
107,1070
107,1100
108,1050
108,880
110,1100
111,905
111,1000
111,976
112,1000
112,1000
113,965
116,1056
116,1056
118,1100
119,1023
121,1100
123,1080
125,1100
126,1100
